record_type,series_id,series_label,window,source_run,from_state,to_state,value
transition,fixed_afss_early,AFSS early fixed-warm-up window,epochs 20-40,NWPUfull_y11n_SCR80_I1024B32_AFSSw20_s42_stab,easy,easy,0.686246
transition,fixed_afss_early,AFSS early fixed-warm-up window,epochs 20-40,NWPUfull_y11n_SCR80_I1024B32_AFSSw20_s42_stab,easy,moderate,0.137536
transition,fixed_afss_early,AFSS early fixed-warm-up window,epochs 20-40,NWPUfull_y11n_SCR80_I1024B32_AFSSw20_s42_stab,easy,hard,0.176218
transition,fixed_afss_early,AFSS early fixed-warm-up window,epochs 20-40,NWPUfull_y11n_SCR80_I1024B32_AFSSw20_s42_stab,moderate,easy,0.308204
transition,fixed_afss_early,AFSS early fixed-warm-up window,epochs 20-40,NWPUfull_y11n_SCR80_I1024B32_AFSSw20_s42_stab,moderate,moderate,0.458980
transition,fixed_afss_early,AFSS early fixed-warm-up window,epochs 20-40,NWPUfull_y11n_SCR80_I1024B32_AFSSw20_s42_stab,moderate,hard,0.232816
transition,fixed_afss_early,AFSS early fixed-warm-up window,epochs 20-40,NWPUfull_y11n_SCR80_I1024B32_AFSSw20_s42_stab,hard,easy,0.129749
transition,fixed_afss_early,AFSS early fixed-warm-up window,epochs 20-40,NWPUfull_y11n_SCR80_I1024B32_AFSSw20_s42_stab,hard,moderate,0.126882
transition,fixed_afss_early,AFSS early fixed-warm-up window,epochs 20-40,NWPUfull_y11n_SCR80_I1024B32_AFSSw20_s42_stab,hard,hard,0.743369
transition,fixed_afss_late,AFSS later fixed-warm-up window,epochs 40-75,NWPUfull_y11n_SCR80_I1024B32_AFSSw20_s42_stab,easy,easy,0.825458
transition,fixed_afss_late,AFSS later fixed-warm-up window,epochs 40-75,NWPUfull_y11n_SCR80_I1024B32_AFSSw20_s42_stab,easy,moderate,0.095950
transition,fixed_afss_late,AFSS later fixed-warm-up window,epochs 40-75,NWPUfull_y11n_SCR80_I1024B32_AFSSw20_s42_stab,easy,hard,0.078592
transition,fixed_afss_late,AFSS later fixed-warm-up window,epochs 40-75,NWPUfull_y11n_SCR80_I1024B32_AFSSw20_s42_stab,moderate,easy,0.228461
transition,fixed_afss_late,AFSS later fixed-warm-up window,epochs 40-75,NWPUfull_y11n_SCR80_I1024B32_AFSSw20_s42_stab,moderate,moderate,0.631171
transition,fixed_afss_late,AFSS later fixed-warm-up window,epochs 40-75,NWPUfull_y11n_SCR80_I1024B32_AFSSw20_s42_stab,moderate,hard,0.140368
transition,fixed_afss_late,AFSS later fixed-warm-up window,epochs 40-75,NWPUfull_y11n_SCR80_I1024B32_AFSSw20_s42_stab,hard,easy,0.133829
transition,fixed_afss_late,AFSS later fixed-warm-up window,epochs 40-75,NWPUfull_y11n_SCR80_I1024B32_AFSSw20_s42_stab,hard,moderate,0.156134
transition,fixed_afss_late,AFSS later fixed-warm-up window,epochs 40-75,NWPUfull_y11n_SCR80_I1024B32_AFSSw20_s42_stab,hard,hard,0.710037
transition,mg_afss_post_trigger,MG-AFSS post-trigger,epochs 51-116,NWPUfull_y11n_SCR120_I1024B32_MGAFSS_cumul_m40_s42_stab,easy,easy,0.847755
transition,mg_afss_post_trigger,MG-AFSS post-trigger,epochs 51-116,NWPUfull_y11n_SCR120_I1024B32_MGAFSS_cumul_m40_s42_stab,easy,moderate,0.092004
transition,mg_afss_post_trigger,MG-AFSS post-trigger,epochs 51-116,NWPUfull_y11n_SCR120_I1024B32_MGAFSS_cumul_m40_s42_stab,easy,hard,0.060241
transition,mg_afss_post_trigger,MG-AFSS post-trigger,epochs 51-116,NWPUfull_y11n_SCR120_I1024B32_MGAFSS_cumul_m40_s42_stab,moderate,easy,0.243313
transition,mg_afss_post_trigger,MG-AFSS post-trigger,epochs 51-116,NWPUfull_y11n_SCR120_I1024B32_MGAFSS_cumul_m40_s42_stab,moderate,moderate,0.636317
transition,mg_afss_post_trigger,MG-AFSS post-trigger,epochs 51-116,NWPUfull_y11n_SCR120_I1024B32_MGAFSS_cumul_m40_s42_stab,moderate,hard,0.120370
transition,mg_afss_post_trigger,MG-AFSS post-trigger,epochs 51-116,NWPUfull_y11n_SCR120_I1024B32_MGAFSS_cumul_m40_s42_stab,hard,easy,0.169983
transition,mg_afss_post_trigger,MG-AFSS post-trigger,epochs 51-116,NWPUfull_y11n_SCR120_I1024B32_MGAFSS_cumul_m40_s42_stab,hard,moderate,0.182490
transition,mg_afss_post_trigger,MG-AFSS post-trigger,epochs 51-116,NWPUfull_y11n_SCR120_I1024B32_MGAFSS_cumul_m40_s42_stab,hard,hard,0.647527
reverse_bar,fixed_afss_early,AFSS early fixed-warm-up window,epochs 20-40,NWPUfull_y11n_SCR80_I1024B32_AFSSw20_s42_stab,easy,hard,0.176218
reverse_bar,mg_afss_post_trigger,MG-AFSS post-trigger,epochs 51-116,NWPUfull_y11n_SCR120_I1024B32_MGAFSS_cumul_m40_s42_stab,easy,hard,0.060241
reverse_bar,fixed_afss_early,AFSS early fixed-warm-up window,epochs 20-40,NWPUfull_y11n_SCR80_I1024B32_AFSSw20_s42_stab,moderate,hard,0.232816
reverse_bar,mg_afss_post_trigger,MG-AFSS post-trigger,epochs 51-116,NWPUfull_y11n_SCR120_I1024B32_MGAFSS_cumul_m40_s42_stab,moderate,hard,0.120370
reverse_bar,fixed_afss_early,AFSS early fixed-warm-up window,epochs 20-40,NWPUfull_y11n_SCR80_I1024B32_AFSSw20_s42_stab,easy,moderate,0.137536
reverse_bar,mg_afss_post_trigger,MG-AFSS post-trigger,epochs 51-116,NWPUfull_y11n_SCR120_I1024B32_MGAFSS_cumul_m40_s42_stab,easy,moderate,0.092004
